buy,1675088288416.00,1675088292241.00,-0.00
sell,1675088473667.00,1675088476617.00,0.00
sell,1675088794521.00,1675088796643.00,-0.01
buy,1675088889817.00,1675088892311.00,-0.00
sell,1675088895295.00,1675088897412.00,0.00
buy,1675088952818.00,1675088956050.00,-0.01
buy,1675088981996.00,1675088985061.00,-0.01
buy,1675089010515.00,1675089013652.00,0.01
sell,1675089064516.00,1675089067099.00,0.01
buy,1675089218952.00,1675089221371.00,0.00
buy,1675089316631.00,1675089319415.00,0.00
sell,1675089604796.00,1675089607607.00,0.01
sell,1675089637638.00,1675089640205.00,0.01
buy,1675089705782.00,1675089714764.00,-0.01
sell,1675089730358.00,1675089732543.00,0.01
sell,1675089899689.00,1675089902296.00,-0.02
buy,1675089905883.00,1675089909075.00,0.01
buy,1675090000522.00,1675090003009.00,-0.01
buy,1675090288098.00,1675090294107.00,-0.00
buy,1675090416208.00,1675090419867.00,-0.02
sell,1675090451001.00,1675090455254.00,0.04
sell,1675090502743.00,1675090505798.00,0.02
sell,1675090656564.00,1675090659061.00,-0.05
sell,1675090692702.00,1675090696097.00,0.01
buy,1675090701598.00,1675090704185.00,-0.00
sell,1675090713044.00,1675090715402.00,0.01
buy,1675090873221.00,1675090875680.00,-0.02
sell,1675090893400.00,1675090895501.00,-0.00
sell,1675090984093.00,1675090986146.00,0.01
buy,1675090988008.00,1675090990205.00,-0.01
sell,1675091060050.00,1675091062639.00,-0.01
sell,1675091094138.00,1675091096171.00,-0.00
sell,1675091178063.00,1675091180167.00,-0.01
buy,1675091251929.00,1675091254156.00,-0.01
sell,1675091448292.00,1675091450491.00,0.00
buy,1675091483772.00,1675091489443.00,-0.00
sell,1675091588069.00,1675091592077.00,0.00
sell,1675091631834.00,1675091637737.00,-0.00
sell,1675092010290.00,1675092015077.00,-0.00
buy,1675092031021.00,1675092035943.00,-0.00
sell,1675092192482.00,1675092194749.00,0.01
buy,1675092265204.00,1675092271311.00,-0.01
sell,1675092285376.00,1675092288231.00,-0.01
buy,1675092544809.00,1675092549685.00,0.00
sell,1675092862069.00,1675092865418.00,-0.00
buy,1675093090270.00,1675093092527.00,-0.01
buy,1675093129147.00,1675093133275.00,0.00
sell,1675093175221.00,1675093179937.00,0.00
buy,1675093367886.00,1675093370049.00,-0.00
sell,1675093423748.00,1675093429461.00,0.06
buy,1675093489049.00,1675093495028.00,0.00
buy,1675093586982.00,1675093589063.00,0.01
sell,1675093639478.00,1675093641617.00,0.03
buy,1675093898118.00,1675093901895.00,-0.01
buy,1675093959939.00,1675093961982.00,-0.01
sell,1675094054158.00,1675094056797.00,-0.01
sell,1675094173082.00,1675094177593.00,-0.01
sell,1675094409323.00,1675094411885.00,0.00
buy,1675094722502.00,1675094726453.00,0.01
buy,1675095231366.00,1675095235733.00,0.01
buy,1675095317532.00,1675095323326.00,0.01
sell,1675095442048.00,1675095444865.00,0.00
sell,1675095536377.00,1675095540185.00,-0.00
buy,1675095793506.00,1675095795530.00,0.02
sell,1675095819813.00,1675095830167.00,0.02
sell,1675096019795.00,1675096023228.00,0.00
buy,1675096069214.00,1675096071292.00,0.02
buy,1675096460432.00,1675096467070.00,0.00
sell,1675096499944.00,1675096502041.00,0.02
buy,1675097144165.00,1675097151588.00,0.00
buy,1675097238719.00,1675097243604.00,0.01
buy,1675097806739.00,1675097810491.00,-0.01
sell,1675097932222.00,1675097935952.00,0.00
buy,1675097953091.00,1675097959160.00,-0.02
sell,1675098462955.00,1675098465036.00,0.01
buy,1675098571315.00,1675098575048.00,0.00
sell,1675098674811.00,1675098684578.00,0.01
buy,1675099100579.00,1675099103726.00,-0.00
sell,1675099122127.00,1675099124846.00,0.02
sell,1675099267909.00,1675099270050.00,-0.00
buy,1675099447993.00,1675099450986.00,-0.01
sell,1675099820493.00,1675099825212.00,-0.02
sell,1675099937934.00,1675099943180.00,0.00
sell,1675100014532.00,1675100023175.00,0.00
buy,1675100064542.00,1675100083296.00,0.01
buy,1675100385725.00,1675100393182.00,-0.00
sell,1675100805262.00,1675100808357.00,0.00
buy,1675100858388.00,1675100863356.00,0.00
sell,1675100897778.00,1675100899910.00,0.01
buy,1675100987318.00,1675101000157.00,-0.01
buy,1675101341120.00,1675101344622.00,0.00
buy,1675101539582.00,1675101542328.00,-0.01
sell,1675101605740.00,1675101609710.00,-0.00
buy,1675101677838.00,1675101681800.00,-0.00
sell,1675101750761.00,1675101754348.00,0.00
buy,1675101826198.00,1675101830522.00,0.02
buy,1675102119697.00,1675102122301.00,-0.00
buy,1675102197734.00,1675102200181.00,0.00
sell,1675102422618.00,1675102432953.00,0.01
buy,1675102571716.00,1675102574767.00,0.01
buy,1675102646354.00,1675102648673.00,-0.00
sell,1675102874680.00,1675102879579.00,0.00
buy,1675103139620.00,1675103142713.00,-0.01
buy,1675104089830.00,1675104091903.00,-0.00
buy,1675104203438.00,1675104208009.00,-0.00
sell,1675104917245.00,1675104920866.00,0.00
sell,1675105084976.00,1675105089129.00,-0.01
sell,1675105334834.00,1675105343813.00,-0.00
sell,1675105387555.00,1675105391714.00,0.01
buy,1675105431189.00,1675105434915.00,-0.03
sell,1675105512141.00,1675105518151.00,0.01
buy,1675105610621.00,1675105614550.00,-0.00
buy,1675105743503.00,1675105745677.00,-0.00
sell,1675105750094.00,1675105752990.00,0.01
buy,1675105843541.00,1675105846005.00,-0.10
